chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr1	1	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	2	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	3	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	8	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	9	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	10	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	15	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
chr1	16	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	17	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	22	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	23	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	24	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	29	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	30	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	32	+	CHG	0.500	2.00	1	2	0	0	0.095	0.905
chr1	38	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	39	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	45	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	46	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	47	+	CHH	0.500	2.00	1	2	0	0	0.095	0.905
chr1	53	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	54	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	55	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	61	+	CHH	0.000	2.00	0	2	0	0	0.000	0.658
chr1	69	+	CHH	0.000	2.00	0	2	1	1	0.000	0.658
chr1	70	+	CHH	0.000	2.00	0	2	1	1	0.000	0.658
